symbol,regime,behavior_id,severity,profile_id,final_profile_id,apply_policy,base_pct,quote_pct,buy_grid_distances,sell_grid_distances,rebuy_enabled,profit_sell_enabled,workability_score,errors,warnings,data_fetch_status
1000CHEEMSUSDT,R4,PB02,STD,DPLV6_R4-25-098_T364_PB02_STD,DPLV6_R4-25-098_PB02_STD__ADJ_DQ_15_BTC_B1_F_F1_V2_L0_FINAL,deployable,20,80,"[9, 15]","[6, 13]",True,True,100,,,ok
ACTUSDT,R8,PB11,DEF,DPLV6_R8-57-211_T705_PB11_DEF,DPLV6_R8-57-211_PB11_DEF__ADJ_DQ_15_BTC_B1_F_F2_V3_L1_FINAL,deployable,5,95,[],[6],True,True,100,,,ok
ADAUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F2_V2_L1_FINAL,deployable,10,90,"[11, 17]","[7, 14]",True,True,88,,,ok
ANKRUSDT,R3,PB01,DEF,DPLV6_R3-17-065_T258_PB01_DEF,DPLV6_R3-17-065_PB01_DEF__ADJ_DQ_15_BTC_B1_F_F3_V1_L4_FINAL,deployable,15,85,[],[6],True,True,100,,,ok
ATOMUSDT,R3,PB01,DEF,DPLV6_R3-17-065_T258_PB01_DEF,DPLV6_R3-17-065_PB01_DEF__ADJ_DQ_15_BTC_B1_F_F3_V1_L1_FINAL,deployable,15,85,[10],"[6, 10]",True,True,100,,,ok
AVAXUSDT,R3,PB01,STD,DPLV6_R3-17-065_T258_PB01_STD,DPLV6_R3-17-065_PB01_STD__ADJ_DQ_15_BTC_B1_F_F0_V1_L0_FINAL,deployable,25,75,"[5, 9]","[4, 8]",True,True,100,,,ok
BANANAUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L4_FINAL,deployable,10,90,[],[8],True,True,100,,,ok
BARUSDT,R2,PB01,DEF,DPLV6_R2-09-033_T129_PB01_DEF,DPLV6_R2-09-033_PB01_DEF__ADJ_DQ_15_BTC_B1_F_F3_V1_L2_FINAL,deployable,15,85,[],[6],True,True,100,,,ok
BIGTIMEUSDT,R5,PB07,DEF,DPLV6_R5-33-129_T458_PB07_DEF,DPLV6_R5-33-129_PB07_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L4_FINAL,deployable,15,85,[],[7],True,True,100,,,ok
BTCUSDT,R4,PB02,STD,DPLV6_R4-25-098_T364_PB02_STD,DPLV6_R4-25-098_PB02_STD__ADJ_DQ_15_BTC_B1_BTC_MULT_0.5_F_F0_V2_L0_FINAL,deployable,25,75,"[8, 14]","[6, 13]",True,True,100,,,ok
CETUSUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L4_FINAL,deployable,10,90,[],[8],True,True,100,,,ok
CGPTUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F2_V2_L1_FINAL,deployable,10,90,"[11, 17]","[7, 14]",True,True,88,,,ok
DASHUSDT,R6,PB06,DEF,DPLV6_R6-41-161_T553_PB06_DEF,DPLV6_R6-41-161_PB06_DEF__ADJ_DQ_15_BTC_B1_F_F2_V2_L1_FINAL,deployable,5,95,[],[10],True,True,90,,,ok
EDUUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L4_FINAL,deployable,10,90,[],[8],True,True,100,,,ok
ESPUSDT,R8,PB11,DEF,DPLV6_R8-57-211_T705_PB11_DEF,DPLV6_R8-57-211_PB11_DEF__ADJ_DQ_15_BTC_B1_F_F2_V3_L1_FINAL,deployable,5,95,[],[6],True,True,100,,,ok
ETHUSDT,R4,PB02,STD,DPLV6_R4-25-098_T364_PB02_STD,DPLV6_R4-25-098_PB02_STD__ADJ_DQ_15_BTC_B1_F_F0_V2_L0_FINAL,deployable,20,80,"[9, 15]","[6, 13]",True,True,100,,,ok
FLOKIUSDT,R5,PB07,DEF,DPLV6_R5-33-129_T458_PB07_DEF,DPLV6_R5-33-129_PB07_DEF__ADJ_DQ_15_BTC_B1_F_F3_V1_L1_FINAL,deployable,15,85,[9],"[6, 10]",True,True,100,,,ok
FRAXUSDT,R1,PB05,DEF,DPLV6_R1-01-001_T002_PB05_DEF,DPLV6_R1-01-001_PB05_DEF__ADJ_DQ_15_BTC_B1_F_F3_V1_L4_FINAL,deployable,15,85,[],[7],True,True,100,,,ok
GLMRUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V3_L2_FINAL,deployable,10,90,[],[9],True,True,100,,,ok
GMXUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L1_FINAL,deployable,10,90,[12],"[8, 15]",True,True,88,,,ok
GNSUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L4_FINAL,deployable,10,90,[],[8],True,True,100,,,ok
GRTUSDT,R6,PB06,DEF,DPLV6_R6-41-161_T553_PB06_DEF,DPLV6_R6-41-161_PB06_DEF__ADJ_DQ_15_BTC_B1_F_F2_V1_L1_FINAL,deployable,5,95,[],[9],True,True,90,,,ok
GTCUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V4_L4_FINAL,deployable,10,90,[],[10],True,True,100,,,ok
GUNUSDT,R8,PB11,DEF,DPLV6_R8-57-211_T705_PB11_DEF,DPLV6_R8-57-211_PB11_DEF__ADJ_DQ_15_BTC_B1_F_F3_V3_L2_FINAL,deployable,5,95,[],[6],True,True,100,,,ok
HEIUSDT,R8,PB11,DEF,DPLV6_R8-57-211_T705_PB11_DEF,DPLV6_R8-57-211_PB11_DEF__ADJ_DQ_15_BTC_B1_F_F2_V2_L1_FINAL,deployable,5,95,[],[6],True,True,100,,,ok
INJUSDT,R4,PB02,STD,DPLV6_R4-25-098_T364_PB02_STD,DPLV6_R4-25-098_PB02_STD__ADJ_DQ_15_BTC_B1_F_F1_V2_L0_FINAL,deployable,20,80,"[9, 15]","[6, 13]",True,True,100,,,ok
KAIAUSDT,R3,PB01,DEF,DPLV6_R3-17-065_T258_PB01_DEF,DPLV6_R3-17-065_PB01_DEF__ADJ_DQ_15_BTC_B1_F_F3_V1_L4_FINAL,deployable,15,85,[],[6],True,True,100,,,ok
LQTYUSDT,R4,PB02,DEF,DPLV6_R4-25-098_T364_PB02_DEF,DPLV6_R4-25-098_PB02_DEF__ADJ_DQ_15_BTC_B1_F_F3_V2_L4_FINAL,deployable,10,90,[],[8],True,True,100,,,ok
